ID,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,AR_MODEL_NUMBER,AR_SERIAL_NUMBER,AR_BATTERY_INSTALL_DATE,AR_EXPECTED_BATTERY_LIFE,AR_VOLTAGE_AT_DEPLOY,AR_TILT_AFTER_DEPLOY,AR_INTERROGATE_CODE,AR_RECEIVE_FREQUENCY,AR_REPLY_FREQUENCY,AR_PING_RATE,AR_ENABLE_CODE_ADDRESS,AR_RELEASE_CODE,AR_DISABLE_CODE,AR_TILT_CODE,DEPLOYED_BY,GLATOS_STATUS,GLATOS_SEASONAL,GLATOS_STUDY
115,SBI,9,,,,,9/20/2010,44.14518,-83.46636,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
116,SBI,10,,,,,9/20/2010,44.14067,-83.45554,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
117,SBI,11,,,,,9/20/2010,44.13609,-83.44477,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
118,SBI,12,,,,,9/20/2010,44.1315,-83.434,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
119,SBI,13,,,,,9/20/2010,44.12693,-83.4232,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
120,SBI,14,,,,,9/20/2010,44.12246,-83.41243,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
121,SBI,15,,,,,9/20/2010,44.11783,-83.40165,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
122,SBI,16,,,,,9/20/2010,44.11323,-83.39078,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
123,SBI,17,,,,,9/20/2010,44.10872,-83.38012,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
124,SBI,18,,,,,9/20/2010,44.10415,-83.36927,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
125,SBI,19,,,,,9/20/2010,44.09963,-83.35863,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
126,SBI,20,,,,,9/20/2010,44.0921,-83.35192,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
127,SBI,21,,,,,9/20/2010,44.08469,-83.34489,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
128,SBI,22,,,,,9/20/2010,44.07715,-83.33784,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
129,SBI,23,,,,,9/20/2010,44.06965,-83.33105,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
130,SBI,24,,,,,9/20/2010,44.06202,-83.32402,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
131,SBI,25,,,,,9/20/2010,44.05467,-83.31693,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
132,SBI,26,,,,,9/20/2010,44.0472,-83.31007,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
133,SBI,27,,,,,9/20/2010,44.03978,-83.30296,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
134,SBI,28,,,,,9/20/2010,44.03228,-83.29612,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
135,SBI,29,,,,,9/20/2010,44.02479,-83.28914,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
136,SBI,30,,,,,9/20/2010,44.01734,-83.28199,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
137,SBI,31,,,,,9/20/2010,44.00983,-83.27503,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
