ID,GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,MOORING_DROP_DEAD_DATE,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,GLATOS_DEPLOY_DATE_TIME,GLATOS_TIMEZONE,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECWLK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NO,GLATOS_INS_FREQUENCY,INS_SERIAL_NO,RCV_MODEM_ADDRESS,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,DEPLOYED_BY,COMMENTS,GLATOS_SEASONAL,GLATOS_PROJECT,GLATOS_VPS
145,GRD,,003,1,,,,,2011-04-25T15:51:00,2011-04-25 19:51,EASTERN,46.52865,-84.15153,,,,,,VR2W,69,113219,,,,,,,,,,Y,SMRSL,Y
146,GRD,,004,1,,,,,2011-04-25T15:46:00,2011-04-25 19:46,EASTERN,46.52936,-84.15208,,,,,,VR2W,69,113225,,,,,,,,,,Y,SMRSL,Y
147,GRD,,005,1,,,,,2011-04-25T15:57:00,2011-04-25 19:57,EASTERN,46.52819,-84.15256,,,,,,VR2W,69,113229,,,,,,,,,,Y,SMRSL,Y
148,GRD,,006,1,,,,,2011-04-25T16:02:00,2011-04-25 20:02,EASTERN,46.52885,-84.15327,,,,,,VR2W,69,113220,,,,,,,,,,Y,SMRSL,Y
149,GRD,,010,1,,,,,2011-05-18T13:15:00,2011-05-18 17:15,EASTERN,46.53321,-84.15923,,,,,,VR2W,69,109913,,,,,,,,,,Y,SMRSL,N
150,GRD,,011,1,,,,,2011-05-18T13:29:00,2011-05-18 17:29,EASTERN,46.53402,-84.15311,,,,,,VR2W,69,109981,,,,,,,,,,Y,SMRSL,N
151,IS1,,002,1,,,,,2011-04-27T07:15:00,2011-04-27 11:15,EASTERN,46.47803,-84.29274,,,,,,VR2W,69,113218,,,,,,,,,,Y,SMRSL,N
152,IS1,,004,1,,,,,2011-04-27T07:05:00,2011-04-27 11:05,EASTERN,46.48143,-84.29831,,,,,,VR2W,69,109996,,,,,,,,,,Y,SMRSL,N
153,LRC,,001,1,,,,,2011-04-25T10:52:00,2011-04-25 14:52,EASTERN,46.26304,-84.18953,,,,,,VR2W,69,113214,,,,,,,,,,Y,SMRSL,Y
154,LRC,,002,1,,,,,2011-04-25T11:21:00,2011-04-25 15:21,EASTERN,46.26362,-84.18758,,,,,,VR2W,69,109946,,,,,,,,,,Y,SMRSL,Y
155,LRC,,003,1,,,,,2011-04-25T11:55:00,2011-04-25 15:55,EASTERN,46.26510,-84.18658,,,,,,VR2W,69,113222,,,,,,,,,,Y,SMRSL,Y
156,LRC,,004,1,,,,,2011-04-25T11:41:00,2011-04-25 15:41,EASTERN,46.26420,-84.18840,,,,,,VR2W,69,109999,,,,,,,,,,Y,SMRSL,Y
157,LRC,,005,1,,,,,2011-04-25T11:03:00,2011-04-25 15:03,EASTERN,46.26354,-84.18997,,,,,,VR2W,69,109991,,,,,,,,,,Y,SMRSL,Y
158,LRC,,006,1,,,,,2011-04-25T11:49:00,2011-04-25 15:49,EASTERN,46.26476,-84.18880,,,,,,VR2W,69,109947,,,,,,,,,,Y,SMRSL,Y
